"Id","ObjectId","Territory2Id","AssociationCause","KeyPrefix","IsDeleted","LastModifiedDate","LastModifiedById","SystemModstamp"
"0JB8a00000FGNhMGAX","0018a000024zxXjAAI","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
"0JB8a00000FGNhNGAX","0018a000024zxXkAAI","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
"0JB8a00000FGNhOGAX","0018a000024zxXlAAI","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
"0JB8a00000FGNhPGAX","0018a000024zxXmAAI","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
"0JB8a00000FGNhQGAX","0018a000024zxXnAAI","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
"0JB8a00000FGNhRGAX","0018a000024zxXoAAI","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
"0JB8a00000FGNhSGAX","0018a000024zxXpAAI","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
"0JB8a00000FGNhTGAX","0018a000024zxXqAAI","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
"0JB8a00000FGNhUGAX","0018a000024zxXrAAI","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
"0JB8a00000FGNhVGAX","0018a000024zxXsAAI","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
"0JB8a00000FGNhWGAX","0018a000024zxXtAAI","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
"0JB8a00000FGNhXGAX","0018a000024zxXuAAI","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
"0JB8a00000FGNhYGAX","0018a000024zxXvAAI","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
"0JB8a00000FGNhZGAX","0018a000024zxXwAAI","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
